Id,Category
0,3
1,0
2,4
3,3
4,3
5,4
6,4
7,4
8,1
9,3
10,0
11,4
12,2
13,1
14,1
15,4
16,3
17,1
18,1
19,2
20,0
21,0
22,3
23,3
24,4
25,4
26,1
27,3
28,4
29,2
30,1
31,1
32,2
33,2
34,3
35,3
36,3
37,0
38,1
39,1
40,3
41,3
42,0
43,0
44,1
45,0
46,0
47,2
48,1
49,4
50,4
51,1
52,1
53,4
54,2
55,4
56,2
57,0
58,1
59,4
60,3
61,0
62,3
63,2
64,2
65,1
66,3
67,0
68,2
69,4
70,0
71,0
72,3
73,3
74,1
75,4
76,1
77,1
78,3
79,4
80,4
81,1
82,2
83,3
84,0
85,1
86,4
87,4
88,2
89,1
90,2
91,2
92,0
93,4
94,0
95,1
96,3
97,4
98,3
99,0
100,1
101,2
102,1
103,1
104,3
105,4
106,2
107,1
108,0
109,1
110,2
111,1
112,3
113,0
114,0
115,1
116,2
117,4
118,3
119,0
120,3
121,4
122,0
123,0
124,1
125,2
126,4
127,1
128,3
129,3
130,2
131,3
132,0
133,3
134,3
135,4
136,1
137,3
138,1
139,2
140,1
141,2
142,3
143,4
144,4
145,0
146,4
147,4
148,1
149,0
150,2
151,0
152,1
153,4
154,0
155,0
156,2
157,0
158,2
159,3
160,1
161,4
162,1
163,0
164,2
165,1
166,3
167,3
168,2
169,2
170,0
171,0
172,3
173,3
174,0
175,1
176,0
177,3
178,4
179,0
180,0
181,0
182,0
183,2
184,0
185,4
186,4
187,0
188,2
189,2
190,0
191,2
192,0
193,2
194,0
195,1
196,1
197,1
198,0
199,4
200,4
201,2
202,4
203,2
204,2
205,0
206,4
207,1
208,3
209,0
210,3
211,3
212,1
213,1
214,0
215,3
216,4
217,4
218,4
219,4
220,3
221,4
222,0
223,0
224,0
225,1
226,1
227,0
228,1
229,4
230,3
231,3
232,4
233,1
234,1
235,1
236,3
237,2
238,1
239,3
240,3
241,0
242,0
243,1
244,1
245,2
246,0
247,1
248,4
249,2
250,1
251,0
252,0
253,0
254,1
255,0
256,1
257,3
258,3
259,0
260,2
261,4
262,1
263,3
264,2
265,0
266,3
267,4
268,1
269,1
270,2
271,4
272,3
273,2
274,0
275,1
276,3
277,2
278,0
279,4
280,1
281,3
282,0
283,3
284,4
285,4
286,4
287,1
288,2
289,3
290,3
291,2
292,0
293,3
294,3
295,3
296,2
297,1
298,4
299,2
300,1
301,1
302,2
303,1
304,3
305,3
306,2
307,4
308,0
309,2
310,2
311,3
312,0
313,0
314,1
315,1
316,1
317,0
318,2
319,1
320,4
321,4
322,0
323,4
324,1
325,1
326,0
327,2
328,4
329,3
330,3
331,3
332,2
333,1
334,2
335,3
336,3
337,3
338,0
339,1
340,3
341,4
342,2
343,2
344,1
345,4
346,4
347,0
348,0
349,0
350,3
351,1
352,0
353,4
354,0
355,4
356,4
357,0
358,2
359,2
360,0
361,1
362,0
363,4
364,1
365,3
366,2
367,0
368,0
369,1
370,4
371,1
372,4
373,4
374,0
375,1
376,1
377,4
378,2
379,2
380,0
381,3
382,3
383,2
384,1
385,2
386,3
387,0
388,1
389,2
390,1
391,4
392,2
393,3
394,0
395,1
396,4
397,1
398,4
399,0
400,4
401,0
402,4
403,0
404,3
405,3
406,3
407,2
408,3
409,1
410,2
411,1
412,2
413,2
414,2
415,0
416,0
417,4
418,1
419,3
420,4
421,2
422,3
423,2
424,3
425,4
426,4
427,1
428,3
429,4
430,0
431,3
432,3
433,4
434,4
435,2
436,1
437,0
438,4
439,2
440,1
441,3
442,2
443,3
444,2
445,3
446,3
447,0
448,2
449,1
450,4
451,0
452,1
453,0
454,2
455,2
456,2
457,1
458,0
459,1
460,4
461,1
462,4
463,4
464,4
465,4
466,4
467,1
468,2
469,4
470,4
471,0
472,4
473,0
474,4
475,1
476,4
477,3
478,2
479,0
480,0
481,4
482,3
483,3
484,1
485,4
486,0
487,2
488,4
489,3
490,1
491,0
492,1
493,4
494,0
495,4
496,4
497,2
498,0
499,2
500,0
501,1
502,1
503,1
504,4
505,4
506,3
507,3
508,0
509,0
510,0
511,3
512,4
513,2
514,3
515,4
516,0
517,3
518,1
519,2
520,1
521,3
522,2
523,3
524,4
525,1
526,0
527,3
528,4
529,0
530,4
531,3
532,1
533,1
534,1
535,1
536,1
537,2
538,4
539,0
540,2
541,1
542,3
543,1
544,3
545,0
546,4
547,0
548,3
549,4
550,4
551,2
552,3
553,3
554,2
555,0
556,1
557,0
558,0
559,1
560,0
561,1
562,2
563,3
564,3
565,0
566,3
567,2
568,1
569,0
570,1
571,0
572,0
573,4
574,2
575,4
576,0
577,1
578,0
579,1
580,3
581,2
582,4
583,0
584,0
585,3
586,3
587,3
588,1
589,1
590,2
591,1
592,1
593,1
594,1
595,1
596,3
597,0
598,4
599,2
600,2
601,2
602,0
603,2
604,4
605,3
606,2
607,2
608,2
609,1
610,1
611,1
612,0
613,4
614,4
615,2
616,4
617,3
618,2
619,3
620,2
621,3
622,1
623,3
624,4
625,3
626,1
627,3
628,0
629,1
630,1
631,2
632,4
633,1
634,4
635,1
636,1
637,1
638,1
639,2
640,0
641,3
642,0
643,1
644,1
645,3
646,3
647,0
648,2
649,0
650,0
651,4
652,4
653,4
654,0
655,1
656,3
657,0
658,2
659,3
660,1
661,0
662,3
663,1
664,2
665,3
666,3
667,3
668,1
669,2
670,2
671,1
672,4
673,3
674,1
675,0
676,1
677,4
678,4
679,2
680,2
681,4
682,2
683,4
684,2
685,4
686,3
687,0
688,3
689,4
690,2
691,3
692,4
693,4
694,0
695,3
696,4
697,0
698,1
699,2
700,3
701,4
702,1
703,3
704,1
705,4
706,0
707,0
708,1
709,3
710,2
711,3
712,4
713,1
714,4
715,0
716,2
717,2
718,2
719,4
720,1
721,2
722,2
723,2
724,0
725,4
726,0
727,4
728,3
729,1
730,1
731,0
732,3
733,4
734,2
735,0
736,4
737,1
738,4
739,3
740,3
741,4
742,3
743,1
744,2
745,4
746,3
747,3
748,3
749,4
750,3
751,4
752,0
753,2
754,2
755,0
756,2
757,3
758,3
759,0
760,3
761,2
762,1
763,0
764,0
765,4
766,0
767,1
768,3
769,3
770,4
771,0
772,1
773,0
774,1
775,4
776,0
777,0
778,1
779,4
780,2
781,1
782,4
783,1
784,0
785,0
786,4
787,2
788,1
789,1
790,2
791,1
792,3
793,4
794,4
795,3
796,2
797,3
798,3
799,1
800,4
801,4
802,0
803,3
804,3
805,4
806,3
807,4
808,2
809,4
810,3
811,4
812,0
813,4
814,3
815,3
816,3
817,1
818,4
819,0
820,2
821,4
822,4
823,4
824,2
825,3
826,3
827,2
828,0
829,0
830,4
831,3
832,4
833,4
834,2
835,4
836,0
837,1
838,0
839,0
840,3
841,0
842,3
843,4
844,4
845,4
846,3
847,0
848,2
849,4
850,2
851,1
852,1
853,4
854,0
855,3
856,3
857,2
858,0
859,3
860,2
861,4
862,0
863,4
864,1
865,1
866,3
867,2
868,4
869,0
870,4
871,1
872,3
873,0
874,4
875,1
876,2
877,0
878,2
879,1
880,0
881,1
882,2
883,0
884,4
885,0
886,1
887,4
888,0
889,0
890,0
891,1
892,0
893,1
894,1
895,4
896,2
897,4
898,3
899,3
900,1
901,2
902,1
903,2
904,2
905,4
906,4
907,4
908,4
909,0
910,0
911,3
912,0
913,0
914,0
915,1
916,1
917,1
918,4
919,4
920,4
921,0
922,1
923,2
924,2
925,3
926,3
927,2
928,3
929,3
930,4
931,0
932,1
933,4
934,0
935,3
936,4
937,4
938,3
939,4
940,0
941,4
942,3
943,4
944,1
945,4
946,0
947,4
948,3
949,3
950,1
951,3
952,1
953,1
954,2
955,2
956,4
957,0
958,3
959,3
960,0
961,1
962,3
963,4
964,3
965,0
966,1
967,3
968,2
969,2
970,3
971,3
972,4
973,2
974,2
975,3
976,0
977,2
978,4
979,4
980,3
981,2
982,3
983,2
984,4
985,2
986,2
987,1
988,4
989,4
990,3
991,1
992,3
993,3
994,1
995,0
996,1
997,0
998,1
999,0
1000,2
1001,4
1002,3
1003,1
1004,1
1005,0
1006,4
1007,2
1008,1
1009,3
1010,4
1011,2
1012,4
1013,3
1014,4
1015,2
1016,4
1017,2
1018,2
1019,0
1020,0
1021,0
1022,2
1023,4
1024,0
1025,1
1026,4
1027,3
1028,3
1029,1
1030,2
1031,1
1032,1
1033,4
1034,2
1035,1
1036,3
1037,0
1038,4
1039,0
1040,2
1041,1
1042,1
1043,0
1044,1
1045,2
1046,3
1047,3
1048,4
1049,4
1050,3
1051,3
1052,4
1053,2
1054,3
1055,4
1056,4
1057,2
1058,2
1059,3
1060,1
1061,0
1062,0
1063,4
1064,4
1065,0
1066,1
1067,1
1068,2
1069,4
1070,3
1071,0
1072,3
1073,4
1074,2
1075,1
1076,3
1077,3
1078,4
1079,4
1080,2
1081,0
1082,2
1083,1
1084,3
1085,2
1086,3
1087,0
1088,2
1089,1
1090,0
1091,4
1092,3
1093,0
1094,1
1095,2
1096,3
1097,2
1098,1
1099,4
1100,1
1101,4
1102,2
1103,4
1104,2
1105,0
1106,4
1107,4
1108,2
1109,3
1110,3
1111,2
1112,2
1113,2
1114,0
1115,1
1116,4
1117,4
1118,1
1119,2
1120,4
1121,0
1122,0
1123,0
1124,3
1125,2
1126,1
1127,4
1128,1
1129,2
1130,2
1131,4
1132,1
1133,3
1134,1
1135,3
1136,2
1137,2
1138,2
1139,0
1140,3
1141,3
1142,3
1143,1
1144,3
1145,1
1146,2
1147,3
1148,1
1149,3
1150,2
1151,1
1152,4
1153,4
1154,2
1155,2
1156,4
1157,3
1158,4
1159,4
1160,1
1161,3
1162,1
1163,0
1164,3
1165,1
1166,0
1167,0
1168,2
1169,1
1170,0
1171,1
1172,3
1173,0
1174,3
1175,2
1176,0
1177,0
1178,2
1179,0
1180,2
1181,1
1182,3
1183,3
1184,2
1185,1
1186,2
1187,4
1188,2
1189,1
1190,4
1191,1
1192,3
1193,1
1194,4
1195,1
1196,2
1197,1
1198,3
1199,2
1200,1
1201,0
1202,1
1203,1
1204,4
1205,3
1206,0
1207,0
1208,3
1209,2
1210,0
1211,4
1212,2
1213,4
1214,1
1215,4
1216,3
1217,0
1218,4
1219,1
1220,1
1221,4
1222,3
1223,0
1224,0
1225,1
1226,3
1227,0
1228,4
1229,3
1230,4
1231,4
1232,3
1233,1
1234,3
1235,1
1236,2
1237,3
1238,1
1239,4
1240,2
1241,4
1242,2
1243,3
1244,1
1245,4
1246,2
1247,0
1248,0
1249,4
1250,1
1251,4
1252,2
1253,4
1254,4
1255,4
1256,1
1257,2
1258,0
1259,2
1260,0
1261,1
1262,2
1263,4
1264,0
1265,4
1266,4
1267,1
1268,1
1269,0
1270,2
1271,1
1272,2
1273,0
1274,3
1275,2
1276,0
1277,1
1278,2
1279,4
1280,1
1281,3
1282,0
1283,4
1284,1
1285,1
1286,1
1287,1
1288,0
1289,4
1290,4
1291,4
1292,2
1293,1
1294,0
1295,3
1296,1
1297,4
1298,0
1299,2
1300,4
1301,4
1302,0
1303,0
1304,4
1305,2
1306,3
1307,1
1308,1
1309,4
1310,0
1311,3
1312,0
1313,3
1314,1
1315,1
1316,1
1317,2
1318,2
1319,0
1320,3
1321,3
1322,2
1323,3
1324,2
1325,3
1326,2
1327,2
1328,4
1329,2
1330,1
1331,3
1332,2
1333,0
1334,3
1335,3
1336,0
1337,4
1338,0
1339,1
1340,2
1341,2
1342,4
1343,2
1344,4
1345,3
1346,2
1347,0
1348,4
1349,4
1350,0
1351,4
1352,4
1353,1
1354,2
1355,1
1356,1
1357,3
1358,2
1359,2
1360,0
1361,0
1362,3
1363,3
1364,1
1365,4
1366,3
1367,1
1368,3
1369,3
1370,1
1371,3
1372,0
1373,3
1374,4
1375,3
1376,4
1377,0
1378,3
1379,0
1380,4
1381,2
1382,4
1383,2
1384,1
1385,4
1386,4
1387,4
1388,1
1389,2
1390,1
1391,1
1392,2
1393,3
1394,1
1395,4
1396,3
1397,0
1398,4
1399,3
1400,0
1401,4
1402,1
1403,3
1404,1
1405,4
1406,1
1407,0
1408,0
1409,1
1410,1
1411,1
1412,4
1413,4
1414,0
1415,0
1416,4
1417,3
1418,1
1419,4
1420,4
1421,1
1422,3
1423,0
1424,1
1425,0
1426,2
1427,4
1428,1
1429,4
1430,1
1431,1
1432,2
1433,2
1434,0
1435,3
1436,0
1437,4
1438,2
1439,3
1440,3
1441,3
1442,2
1443,3
1444,0
1445,2
1446,0
1447,2
1448,2
1449,3
1450,0
1451,4
1452,4
1453,0
1454,0
1455,1
1456,4
1457,0
1458,2
1459,0
1460,2
1461,0
1462,4
1463,1
1464,4
1465,3
1466,3
1467,1
1468,3
1469,4
1470,4
1471,4
1472,3
1473,0
1474,1
1475,3
1476,0
1477,3
1478,0
1479,3
1480,1
1481,3
1482,0
1483,3
1484,1
1485,1
1486,2
1487,2
1488,0
1489,4
1490,2
1491,4
1492,0
1493,4
1494,4
1495,4
1496,2
1497,1
1498,4
1499,4
1500,2
1501,4
1502,3
1503,3
1504,1
1505,1
1506,4
1507,3
1508,2
1509,0
1510,0
1511,3
1512,0
1513,2
1514,4
1515,2
1516,2
1517,4
1518,0
1519,3
1520,1
1521,0
1522,1
1523,4
1524,2
1525,3
1526,0
1527,0
1528,3
1529,2
1530,2
1531,0
1532,1
1533,1
1534,1
1535,2
1536,4
1537,0
1538,1
1539,2
1540,3
1541,3
1542,4
1543,0
1544,3
1545,3
1546,2
1547,3
1548,1
1549,1
1550,0
1551,3
1552,2
1553,4
1554,0
1555,4
1556,3
1557,2
1558,2
1559,0
1560,2
1561,0
1562,3
1563,3
1564,3
1565,0
1566,0
1567,0
1568,0
1569,1
1570,0
1571,3
1572,4
1573,3
1574,2
1575,2
1576,0
1577,3
1578,3
1579,0
1580,4
1581,4
1582,4
1583,2
1584,1
1585,2
1586,4
1587,4
1588,0
1589,1
1590,0
1591,4
1592,1
1593,4
1594,0
1595,1
1596,2
1597,1
1598,0
1599,2
1600,2
1601,1
1602,1
1603,4
1604,0
1605,2
1606,0
1607,2
1608,2
1609,4
1610,3
1611,4
1612,2
1613,2
1614,1
1615,2
1616,2
1617,4
1618,4
1619,3
1620,2
1621,3
1622,1
1623,1
1624,4
1625,2
1626,1
1627,1
1628,2
1629,2
1630,1
1631,1
1632,4
1633,4
1634,4
1635,3
1636,3
1637,0
1638,1
1639,4
1640,3
1641,4
1642,4
1643,1
1644,2
1645,3
1646,0
1647,2
1648,1
1649,3
1650,3
1651,2
1652,1
1653,2
1654,3
1655,0
1656,3
1657,3
1658,0
1659,2
1660,2
1661,0
1662,3
1663,3
1664,2
1665,0
1666,4
1667,2
1668,0
1669,4
1670,2
1671,1
1672,0
1673,3
1674,4
1675,0
1676,2
1677,3
1678,0
1679,3
1680,2
1681,1
1682,4
1683,0
1684,1
1685,4
1686,4
1687,1
1688,0
1689,1
1690,4
1691,2
1692,3
1693,2
1694,0
1695,2
1696,4
1697,1
1698,0
1699,4
1700,4
1701,3
1702,0
1703,4
1704,4
1705,1
1706,3
1707,2
1708,2
1709,4
1710,3
1711,2
1712,0
1713,3
1714,0
1715,1
1716,3
1717,3
1718,0
1719,2
1720,0
1721,3
1722,1
1723,3
1724,1
1725,4
1726,0
1727,4
1728,3
1729,0
1730,3
1731,1
1732,3
1733,1
1734,0
1735,4
1736,3
1737,0
1738,3
1739,1
1740,0
1741,3
1742,4
1743,3
1744,2
1745,0
1746,2
1747,0
1748,2
1749,1
1750,2
1751,0
